Retained Space by Class
=======================

Total Heap:    24.50 MB
Total Classes:     2892
Total Objects:   205719

# Objects    Retained        Size  Class
----------------------------------------
        2     7.15 KB      112 B   javax.validation.constraints.Size$$ProxyImpl
        1     7.07 KB     5.76 KB  io.undertow.util.StatusCodes$Entry[]
       96     7.03 KB     3.75 KB  com.sun.org.apache.xml.internal.serializer.EncodingInfo
       26     6.70 KB      832 B   javax.validation.valueextraction.ExtractedValue$$ProxyImpl
       39     6.67 KB     1.59 KB  java.math.BigInteger[]
       32     6.67 KB     1.00 KB  sun.reflect.generics.tree.FormalTypeParameter
      115     6.41 KB     4.49 KB  java.math.BigInteger
        8     6.38 KB      256 B   java.util.regex.Pattern$Prolog
       72     6.30 KB     2.25 KB  java.util.regex.Pattern$Slice
        1     6.25 KB       56 B   javax.validation.constraints.Max$$ProxyImpl
        1     6.23 KB       56 B   javax.validation.constraints.Min$$ProxyImpl
        8     6.13 KB      384 B   java.util.regex.Pattern$Loop
       93     6.12 KB     2.18 KB  sun.reflect.annotation.TypeAnnotation$LocationInfo
      259     6.07 KB     6.07 KB  java.lang.Long
      257     6.02 KB     6.02 KB  io.undertow.protocols.http2.HPackHuffman$HuffmanCode
        1     6.00 KB     2.02 KB  java.lang.Byte[]
        1     6.00 KB     2.02 KB  java.lang.Short[]
        1     5.87 KB      104 B   com.fasterxml.jackson.databind.ObjectReader
        8     5.65 KB      256 B   javax.ws.rs.core.MultivaluedHashMap
        2     5.64 KB       96 B   javax.validation.constraints.NotNull$$ProxyImpl
        7     5.59 KB      560 B   io.undertow.servlet.core.ManagedServlet
       44     5.41 KB     3.78 KB  sun.util.calendar.ZoneInfo
       69     5.39 KB     2.16 KB  java.lang.ref.ReferenceQueue
       34     5.31 KB     1.06 KB  com.sun.org.apache.xml.internal.serializer.utils.StringToIntTable
      221     5.18 KB     5.18 KB  java.lang.Character$UnicodeBlock
       20     5.05 KB      800 B   java.util.regex.Pattern$7
       16     4.98 KB     1.25 KB  java.util.WeakHashMap
       15     4.88 KB      840 B   io.smallrye.openapi.api.models.media.MediaTypeImpl
       31     4.70 KB     4.70 KB  long[]
        1     4.66 KB       80 B   com.fasterxml.jackson.databind.MappingJsonFactory
       36     4.56 KB     1.41 KB  com.sun.org.apache.xerces.internal.impl.xs.traversers.SmallContainer
       13     4.54 KB      312 B   java.util.concurrent.atomic.AtomicReference
        8     4.54 KB     1.25 KB  java.util.GregorianCalendar
        1     4.48 KB      280 B   com.sun.org.apache.xerces.internal.impl.xs.SchemaGrammar$Schema4Annotations
        1     4.28 KB       64 B   io.undertow.servlet.handlers.ServletPathMatches
        5     4.22 KB     4.08 KB  byte[][]
        2     4.12 KB      128 B   javax.xml.bind.annotation.XmlType$$ProxyImpl
        1     4.03 KB       96 B   io.smallrye.openapi.api.models.ComponentsImpl
       22     4.01 KB      704 B   java.util.regex.Pattern$CharProperty$1
      256     4.00 KB     4.00 KB  java.lang.Byte
      256     4.00 KB     4.00 KB  java.lang.Short
        1     3.98 KB       32 B   io.undertow.servlet.handlers.ServletPathMatchesData
       93     3.94 KB     2.28 KB  sun.reflect.annotation.TypeAnnotation$LocationInfo$Location[]
        5     3.88 KB      200 B   com.sun.org.apache.xerces.internal.impl.xs.traversers.LargeContainer
      246     3.84 KB     3.84 KB  javax.ws.rs.core.MediaType$1
        8     3.84 KB      256 B   org.jboss.resteasy.core.registry.ClassNode
        7     3.83 KB      672 B   java.text.DateFormatSymbols
